City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Sao Bernardo Do Campo,BR,65.01,overcast clouds,-23.6939,-46.565,Kamiss Motel
614,Semey,KZ,70.02,broken clouds,50.4111,80.2275,Grand Hotel Semey
618,Aguimes,ES,73.85,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
619,Birjand,IR,73.94,clear sky,32.8663,59.2211,Birjand Tourist Hotel
623,Daoukro,CI,69.13,broken clouds,7.0591,-3.9631,Komenan brou roseline
626,Mitsamiouli,KM,75.49,clear sky,-11.3847,43.2844,Foyer ADM
627,Shache,CN,74.93,clear sky,38.4167,77.2406,Delong Hotel
629,Santa Luzia,BR,68.9,clear sky,-19.7697,-43.8514,Pousada Chao Earth
630,Nsanje,MW,66.33,clear sky,-16.92,35.262,Nsanje Discovery Lodge
631,Mage,BR,71.6,scattered clouds,-22.6528,-43.0406,Canopus Hotel
632,Privolzhskiy,RU,65.3,light rain,51.4,46.0333,"Sfera, Gostinichnyy Kompleks"
633,Guhagar,IN,78.48,broken clouds,17.4842,73.1929,Hotel Seawinds
634,Arnoldstein,AT,70.86,overcast clouds,46.5461,13.71,Südrast Dreiländerecke
636,Cururupu,BR,74.17,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
643,Freiberg,DE,77.36,broken clouds,50.9167,13.3667,Hotel am Obermarkt
644,Divnoye,RU,66.09,broken clouds,45.9089,43.3547,Motel Manych-Gudilo
650,Belmonte,BR,71.71,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
653,Camopi,GF,72.36,broken clouds,3.1655,-52.3158,La pousada
655,Correntina,BR,70.63,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
662,Salinopolis,BR,78.93,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
664,Dharchula,IN,72.59,overcast clouds,29.85,80.5333,Mahara Hotel
666,Kochubey,RU,72.77,broken clouds,44.3861,46.5825,Europa
667,Fort-Shevchenko,KZ,77.34,broken clouds,44.5086,50.263,Oasis hotel Bautino
669,Dutse,NG,73.31,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
670,Darnah,LY,76.01,clear sky,32.767,22.6367,فندق الفردوس
672,Abidjan,CI,76.96,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
673,Sines,PT,66.29,clear sky,37.9562,-8.8698,Hotel Sinerama
675,Presidencia Roque Saenz Pena,AR,73.24,few clouds,-26.7852,-60.4388,Hotel Gualok
678,Saposoa,PE,76.15,scattered clouds,-6.934,-76.7716,Hostal Primavera
681,Amilly,FR,66.06,few clouds,47.9728,2.7719,Hôtel Kyriad Montargis Amilly
683,Santa Vitoria,BR,73.99,scattered clouds,-18.8386,-50.1214,Center Hotel
685,Brokopondo,SR,78.08,broken clouds,4.75,-55.1667,Matu Island
689,Aktau,KZ,79.38,overcast clouds,43.65,51.2,Silk Way Hotel
691,Benguela,AO,66.24,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
695,Diffa,NE,78.67,broken clouds,13.3154,12.6113,ProDAF/Diffa
698,Prado,BR,70.77,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
702,Grand Valley,CA,79.59,overcast clouds,43.9001,-80.3164,Hamilton House Bed & Breakfast
703,Tallahassee,US,78.67,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
705,Uddevalla,SE,75.99,broken clouds,58.3478,11.9424,Best Western Hotel Carlia
706,Magadi,IN,69.93,broken clouds,12.9667,77.2333,Gobi centre
707,Matara,LK,77.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
708,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
